datetime,predicted_retail_price_£_per_kWh
2025-10-30 00:00:00,0.30700552463531494
2025-10-30 01:00:00,0.30440235137939453
2025-10-30 02:00:00,0.2985696792602539
2025-10-30 03:00:00,0.288490355014801
2025-10-30 04:00:00,0.2756168246269226
2025-10-30 05:00:00,0.2623104155063629
2025-10-30 06:00:00,0.2705657184123993
2025-10-30 07:00:00,0.2768997251987457
2025-10-30 08:00:00,0.27781063318252563
2025-10-30 09:00:00,0.27666598558425903
2025-10-30 10:00:00,0.2759186625480652
2025-10-30 11:00:00,0.27260124683380127
2025-10-30 12:00:00,0.2696034610271454
2025-10-30 13:00:00,0.26781150698661804
2025-10-30 14:00:00,0.26708340644836426
2025-10-30 15:00:00,0.2668410539627075
2025-10-30 16:00:00,0.2663240134716034
2025-10-30 17:00:00,0.2662240266799927
2025-10-30 18:00:00,0.26642563939094543
2025-10-30 19:00:00,0.2662520706653595
2025-10-30 20:00:00,0.26484718918800354
2025-10-30 21:00:00,0.2632165849208832
2025-10-30 22:00:00,0.261553019285202
2025-10-30 23:00:00,0.26097387075424194
2025-10-31 00:00:00,0.26107972860336304
2025-10-31 01:00:00,0.26108404994010925
2025-10-31 02:00:00,0.2610878646373749
2025-10-31 03:00:00,0.2610897123813629
2025-10-31 04:00:00,0.26109012961387634
2025-10-31 05:00:00,0.2610904276371002
2025-10-31 06:00:00,0.2610950171947479
2025-10-31 07:00:00,0.2610991895198822
2025-10-31 08:00:00,0.26110169291496277
2025-10-31 09:00:00,0.2611037492752075
2025-10-31 10:00:00,0.2611054480075836
2025-10-31 11:00:00,0.2611061632633209
2025-10-31 12:00:00,0.26110681891441345
2025-10-31 13:00:00,0.26110753417015076
2025-10-31 14:00:00,0.26110824942588806
2025-10-31 15:00:00,0.26110902428627014
2025-10-31 16:00:00,0.26110967993736267
2025-10-31 17:00:00,0.26111024618148804
2025-10-31 18:00:00,0.26111093163490295
2025-10-31 19:00:00,0.26111114025115967
2025-10-31 20:00:00,0.26111099123954773
2025-10-31 21:00:00,0.261110782623291
2025-10-31 22:00:00,0.2611105144023895
2025-10-31 23:00:00,0.2611103355884552
2025-11-01 00:00:00,0.2611103653907776
2025-11-01 01:00:00,0.2611103653907776
2025-11-01 02:00:00,0.2611103355884552
2025-11-01 03:00:00,0.2611103355884552
2025-11-01 04:00:00,0.2611103951931
2025-11-01 05:00:00,0.26111042499542236
2025-11-01 06:00:00,0.2611103951931
2025-11-01 07:00:00,0.26111045479774475
2025-11-01 08:00:00,0.26111042499542236
2025-11-01 09:00:00,0.2611103951931
2025-11-01 10:00:00,0.2611103355884552
2025-11-01 11:00:00,0.2611103057861328
2025-11-01 12:00:00,0.2611103057861328
2025-11-01 13:00:00,0.2611103653907776
2025-11-01 14:00:00,0.2611103653907776
2025-11-01 15:00:00,0.2611103057861328
2025-11-01 16:00:00,0.2611102759838104
2025-11-01 17:00:00,0.2611103951931
2025-11-01 18:00:00,0.2611103653907776
2025-11-01 19:00:00,0.2611103355884552
2025-11-01 20:00:00,0.2611103653907776
2025-11-01 21:00:00,0.2611102759838104
2025-11-01 22:00:00,0.2611103355884552
2025-11-01 23:00:00,0.2611102759838104
